Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
65133,1000 18TH AVENUE,1000 18TH AVE,0714,Newark City,07104    ,Suspected
73416,100 19TH AVENUE,100 19TH AVE,0714,Newark City,07105    ,Suspected
52807,1007 1009 BROAD STREET,1007 1009 BROAD ST,0714,Newark City,07108    ,LSRP Oversight
424386,100 HOLLAND ROAD,100 HOLLAND RD,0719,South Orange Village Twp,07079    ,UST Fund Application Closed 
578002,100 MLK STOCKPILE REMOVAL,100 DR MARTIN LUTHER KING JR BLVD,0705,East Orange City,07017    ,Suspected
89894,100 WATSON AVENUE,100 WATSON AVE,0705,East Orange City,07018    ,Suspected
470625,10 & 10A EAST WILLOW ST,10 E WILLOW ST,0712,Millburn Twp,07041    ,RAO-Entire Site (Unrestricted Use)
9031,101 CLINTON ROAD,101 CLINTON RD,0707,Fairfield Twp,07004    ,RAO-Entire Site (Unrestricted Use)
159237,102 108 WELLAND AVENUE,102 108 WELLAND AVE,0709,Irvington Twp,07111    ,LSRP Oversight
221845,1025 1031 BROAD STREET,1025 1031 BROAD ST,0714,Newark City,07102    ,No SRP Oversight Required
221846,1033 BROAD STREET,1033 BROAD ST,0714,Newark City,07102    ,RAO-Entire Site (Unrestricted Use)
64889,103 7TH AVENUE,103 7TH AVE,0714,Newark City,07104    ,Suspected
364382,104 106 AUGUSTA ST,104 106 AUGUSTA ST,0709,Irvington Twp,07111    ,Known
443170,104 BOYDEN AVENUE,104 BOYDEN AVE,0711,Maplewood Twp,07040    ,UST Fund Application Closed 
65024,104 FOUNDRY STREET REALTY,RT 1/9 & FOUNDRY ST,0714,Newark City,07118    ,No SRP Oversight Required
732533,104 HOBSON STREET,104 HOBSON ST,0702,Bloomfield Twp,07003    ,UST Fund Application Under Review
606149,104 NORTH FRANKLIN AVENUE,104 N FRANKLIN AVE,0716,Nutley Twp,07110    ,RAO-A (Limited Restricted Use)
65249,105 SOUTH TERRACE,105 SOUTH TER,0712,Millburn Twp,07041    ,Suspected
231376,1072 PARTNERS CORP,1072 1074 S ORANGE AVE,0714,Newark City,07106    ,Suspected
